customer_id,age,gender,annual_income,last_visited_days_ago,session_duration,pages_visited,device,purchase
1,56,male,,7,17,15,desktop,0
2,69,female,47617,4,35,19,mobile,0
3,46,male,94258,30,,15,mobile,0
4,32,female,70075,19,4,12,mobile,0
5,60,male,146998,16,51,,mobile,0
6,25,male,42631,8,31,16,desktop,1
7,38,female,143120,,31,6,desktop,1
8,56,male,117158,24,9,20,tablet,0
9,36,female,158955,12,31,15,desktop,0
10,40,female,170780,4,5,13,tablet,1
11,28,male,66221,13,36,10,desktop,0
12,28,male,168269,10,16,14,desktop,1
13,41,male,172206,24,42,3,tablet,1
14,70,male,125922,30,41,12,mobile,0
15,53,male,53550,25,16,1,desktop,0
16,57,female,34642,,20,16,mobile,1
17,41,male,171511,24,,10,tablet,0
18,20,female,126093,,30,9,desktop,0
19,39,male,175655,23,26,18,tablet,0
20,70,male,113885,16,49,1,desktop,0
21,19,male,99538,3,31,10,tablet,1
22,41,female,82014,,50,7,tablet,0
23,61,male,39523,9,15,,mobile,0
24,47,female,130285,14,52,12,mobile,1
25,55,female,125879,19,41,11,mobile,1
26,19,female,110629,11,38,9,desktop,1
27,38,male,96830,8,,5,tablet,0
28,50,female,65538,2,43,4,mobile,1
29,29,male,,14,57,20,desktop,0
30,39,female,161980,11,,13,mobile,1
31,61,male,135266,25,20,8,desktop,0
32,42,female,32699,14,35,16,tablet,1
33,66,male,86912,25,23,1,tablet,0
34,,male,165327,,44,17,tablet,0
35,59,male,99183,14,47,15,desktop,0
36,45,female,80282,10,39,15,tablet,1
37,33,female,78249,4,25,18,desktop,1
38,32,male,,6,54,6,desktop,0
39,64,nan,28163,11,50,2,desktop,0
40,68,female,74210,19,22,,tablet,1
41,61,female,143844,24,47,19,tablet,0
42,,female,,5,8,7,tablet,0
43,20,female,91979,21,54,9,desktop,1
44,54,female,98860,2,9,2,tablet,0
45,,nan,172215,9,15,7,desktop,0
46,24,male,24920,25,48,14,tablet,0
47,38,nan,,20,20,15,desktop,1
48,26,female,57996,25,35,12,mobile,0
49,56,male,162820,21,59,20,tablet,0
50,35,male,114071,29,,4,tablet,0
51,21,male,67252,3,,13,desktop,0
52,42,female,142734,12,59,9,desktop,0
53,31,female,157522,18,60,12,desktop,0
54,,female,72756,4,34,10,mobile,0
55,26,female,70235,22,34,9,tablet,0
56,43,female,110546,26,36,7,desktop,0
57,70,nan,,,35,12,mobile,0
58,19,female,145802,17,9,16,mobile,1
59,37,male,128421,0,30,15,desktop,0
60,45,female,,,55,7,tablet,1
61,64,male,86635,20,54,8,desktop,1
62,,female,43225,27,26,7,desktop,0
63,61,female,126885,15,12,11,desktop,0
64,25,female,105333,15,24,4,mobile,0
65,64,female,191297,15,41,18,mobile,0
66,52,female,30807,27,19,19,tablet,0
67,31,nan,26402,,44,7,mobile,0
